"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
201.135600955335,298.75780352377,271.518518018157,309.457521463154,293.074319579473,335.224663074787,448.284996226243,320.796644785413,344.734600877988,265.136000723856,236.32785496374
213.342849966441,290.760333090407,247.498312199074,364.948013628078,276.32284469668,342.525023186958,355.248659507609,335.750360879326,364.528298016234,205.717580288762,273.79412000176
224.048042021133,269.182905468484,215.512931105862,366.836063840227,280.186206775192,397.033401354221,385.718421240329,310.337416809865,396.404963883163,208.694228140056,192.820007401618
274.616937215715,285.158148184424,256.334705201057,344.318583741703,286.129544483319,401.015688506367,370.876127875881,321.677635752217,367.175574920962,203.262429848324,255.972526259497
247.448145465177,269.17065890915,221.521088744672,352.582150094978,277.504367040873,394.100601266046,443.646656187612,339.148108912045,359.425654298519,236.939084564139,272.419223625799
249.412250513015,274.729027659198,246.464410318042,361.443445131875,290.364866187612,365.897474826809,426.543812053655,328.26275237306,313.330774365027,217.364471425737,226.05073786617
260.239777659339,259.476018388327,230.078408394426,329.195026781009,291.820281994041,353.597217039605,390.502442686422,333.447809169553,339.756398603506,231.734874994461,269.944745398276
279.615192740037,284.179805226488,290.177204776727,337.349952511917,282.13758842451,328.685183760943,416.107945020225,306.99025574934,344.321937187248,230.893783395297,242.245554497062
214.732874401408,301.720791517793,207.626968938629,349.762515290877,237.625648873654,373.154023835055,392.567487416099,329.293947202045,352.562978554693,194.697747174046,262.121834591042
225.11471365505,290.399992192055,250.80142166824,344.632726774032,261.289593567459,335.701602906295,336.949785792596,298.889056150611,347.35146579673,256.500921110875,290.92326490867
223.148592248131,271.315349250191,227.539340826654,376.191757867298,254.621088362595,347.083376482926,349.957938375959,317.517866436306,328.712828082202,168.751972754949,217.223086015649
250.82967281896,289.29012806906,227.980321180163,341.781809355185,272.38210314602,418.606005579943,399.742556186033,340.517726590635,313.158248692822,196.769860010737,206.685655341017
230.729769997586,295.081405889987,274.524150273619,369.500460025627,282.564262622905,361.995942589352,442.826735928596,343.577181232128,398.690695002129,214.620505219449,258.912652271359
