"date","prod"
2011-12-16,NA
2012-01-16,NA
2012-02-16,328.974152299834
2012-03-16,401.894383253507
2012-04-16,1648.67775715954
2012-05-16,4280.38247536985
2012-06-16,1441.13412877647
2012-07-16,1556.88193308156
2012-08-16,1677.79916972313
2012-09-16,1592.6930957463
2012-10-16,989.087608461947
2012-11-16,NA
2012-12-16,NA
2013-01-16,NA
2013-02-16,323.928344838348
2013-03-16,413.4539625476
2013-04-16,1532.12907882726
2013-05-16,1996.65788447031
2013-06-16,1919.17895543954
2013-07-16,2163.71275635333
2013-08-16,1845.51989235632
2013-09-16,1417.27667961243
2013-10-16,1014.06480411881
2013-11-16,NA
2013-12-16,NA
2014-01-16,NA
2014-02-16,482.749024967746
2014-03-16,518.510414839693
2014-04-16,1047.16020566373
2014-05-16,5971.40953742543
2014-06-16,1798.15382968088
2014-07-16,1994.74408582402
2014-08-16,1801.88407838199
2014-09-16,1426.6598690174
2014-10-16,798.176697260105
2014-11-16,294.001158396403
2014-12-16,NA
2015-01-16,NA
2015-02-16,609.501068165787
2015-03-16,611.056129881133
2015-04-16,783.978979995058
2015-05-16,1924.23446802976
2015-06-16,2004.92216380134
2015-07-16,1624.77618691561
2015-08-16,1508.80513005998
2015-09-16,1166.27398436164
2015-10-16,819.295252534543
2015-11-16,NA
2015-12-16,NA
2016-01-16,NA
2016-02-16,400.471754929451
2016-03-16,533.288188035607
2016-04-16,854.048019832822
2016-05-16,1434.30552408832
2016-06-16,1712.38033171737
2016-07-16,1700.80817978861
2016-08-16,1442.18070501205
2016-09-16,1548.02855058051
2016-10-16,1059.44950975293
2016-11-16,363.546425693006
2016-12-16,NA
2017-01-16,NA
2017-02-16,366.233040806701
2017-03-16,396.751942240984
2017-04-16,2255.01240252143
2017-05-16,1033.73421050794
2017-06-16,1337.96535045547
2017-07-16,1482.14757108842
2017-08-16,1610.94114251112
2017-09-16,1603.72922595132
2017-10-16,863.568663562037
2017-11-16,NA
2017-12-16,NA
2018-01-16,NA
2018-02-16,420.534088875981
2018-03-16,536.340847730338
2018-04-16,4069.63832600152
2018-05-16,844.356790184394
2018-06-16,1073.87301195558
2018-07-16,1413.56322844424
2018-08-16,1552.68868383202
2018-09-16,1395.37964002522
2018-10-16,710.388822693543
2018-11-16,NA
2018-12-16,NA
2019-01-16,NA
2019-02-16,809.15223025045
2019-03-16,572.573342995765
2019-04-16,832.951141872802
2019-05-16,1420.31329685963
2019-06-16,1722.21765114831
2019-07-16,1819.30265103796
2019-08-16,1617.00000167397
2019-09-16,1655.59233737484
2019-10-16,1111.35315567001
2019-11-16,NA
2019-12-16,NA
2020-01-16,NA
2020-02-16,280.723304832353
2020-03-16,578.060616730433
2020-04-16,1804.94770837242
2020-05-16,1411.4951869949
2020-06-16,1101.30245583991
2020-07-16,1698.14199818843
2020-09-16,1606.55469122402
2020-10-16,948.144128333967
2020-11-16,NA
2020-12-16,NA
2021-01-16,NA
2021-02-16,310.296397734688
2021-03-16,393.419834385456
2021-04-16,1189.20989730763
2021-05-16,2176.76031584323
