"WhaleNumber","Dual_Left_Right","KnownSex","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
404,"Left","0",2,6,1,2,1,2,6,2,1,1,2,2,2
405,"Left","0",2,1,1,1,1,1,1,1,1,1,1,1,1
407,"Left","0",2,1,1,2,2,9,1,2,2,4,2,2,3
410,"Left","0",2,2,2,1,2,4,2,2,2,2,1,2,1
412,"Left","0",2,3,2,1,1,1,1,1,1,1,1,1,1
417,"Left","0",2,2,1,1,1,1,1,1,1,1,1,1,1
418,"Left","0",2,2,1,1,1,2,1,1,1,1,1,1,1
419,"Dual","0",2,1,2,2,1,2,1,1,1,1,1,2,2
424,"Left","0",6,1,1,11,1,2,2,2,2,2,1,1,1
425,"Left","0",2,1,3,1,1,11,2,1,1,1,1,1,13
431,"Left","0",2,2,1,2,1,1,1,1,1,1,1,1,1
432,"Left","0",2,1,2,1,14,6,1,1,1,1,1,1,9
433,"Left","0",2,3,1,14,1,1,2,1,1,1,1,1,1
434,"Left","0",2,9,2,9,1,2,6,2,1,1,1,3,5
436,"Left","0",2,1,2,2,1,1,1,1,1,1,1,1,1
438,"Left","0",2,2,1,1,1,1,1,1,1,1,1,1,2
446,"Left","0",2,1,1,1,1,3,6,1,1,1,1,1,1
451,"Left","0",2,1,1,2,2,1,2,3,2,2,1,1,6
453,"Left","0",2,6,1,14,9,2,2,2,2,1,1,1,3
456,"Left","0",2,14,1,1,1,1,1,1,1,1,1,1,1
460,"Left","0",2,1,1,1,1,2,1,1,1,2,3,2,2
461,"Left","0",4,2,1,2,6,9,11,2,2,3,6,1,1
465,"Dual","0",2,1,2,2,2,1,2,2,1,2,2,2,2
467,"Left","0",2,1,1,1,2,2,2,1,2,2,1,2,1
468,"Left","0",2,1,2,1,1,1,1,1,1,1,1,1,1
469,"Left","0",2,2,1,2,2,6,1,1,2,4,1,1,1
470,"Left","0",2,1,1,1,1,1,2,1,1,2,2,6,2
471,"Left","0",2,9,1,2,1,2,1,1,1,1,1,1,1
475,"Left","0",14,1,1,1,1,1,1,1,1,1,1,1,1
478,"Left","0",2,1,1,1,1,1,1,1,1,1,1,1,1
479,"Left","0",2,2,1,1,1,1,1,1,1,1,1,1,1
481,"Left","0",2,2,2,2,1,1,2,1,1,2,1,1,1
491,"Left","0",2,1,2,1,1,1,1,1,1,1,1,1,1
494,"Left","0",2,1,1,2,2,9,11,2,1,14,1,2,2
496,"Left","M",2,1,1,1,1,2,1,1,1,2,1,1,1
497,"Left","0",2,9,2,2,1,1,1,1,1,1,1,1,1
504,"Left","0",1,14,1,2,2,2,2,1,1,1,1,1,1
507,"Left","0",1,2,1,1,1,1,1,1,1,1,1,1,1
509,"Dual","0",1,2,1,1,2,2,1,1,1,1,1,1,2
516,"Dual","0",1,2,1,1,1,1,1,1,1,1,1,1,1
517,"Dual","0",1,2,1,1,1,2,2,1,1,1,1,6,1
549,"Dual","0",2,4,1,1,6,1,9,7,2,1,2,2,2
595,"Dual","0",1,1,1,1,1,2,1,1,1,2,1,1,2
875,"Dual","0",2,1,2,2,2,2,2,1,1,2,2,2,1
987,"Dual","0",1,1,2,2,2,2,1,1,2,1,2,2,2
1102,"Dual","0",1,1,1,2,1,2,1,1,1,1,1,1,3
1220,"Dual","0",6,2,1,6,2,14,4,1,1,2,2,1,2
1238,"Dual","0",1,2,1,6,2,3,2,2,2,2,6,1,2
1314,"Dual","0",1,2,1,1,2,2,2,2,1,4,2,2,3
1391,"Dual","0",1,1,1,1,1,2,1,1,2,1,2,2,2
1576,"Left","0",1,2,2,1,1,1,1,1,1,1,1,1,1
1647,"Left","0",2,2,2,1,1,11,6,2,2,2,1,2,1
1663,"Left","0",1,2,2,1,1,2,2,9,1,2,1,4,1
1673,"Left","0",2,11,1,2,2,1,2,1,1,1,1,1,1
1723,"Left","0",1,2,2,1,2,2,2,1,1,1,1,2,2
1726,"Left","0",1,2,1,1,1,1,1,1,1,1,1,1,1
1729,"Left","0",1,2,1,1,1,1,1,1,1,1,1,1,2
1731,"Left","0",1,2,1,1,1,1,1,1,1,1,9,1,1
1738,"Left","0",1,2,1,2,1,4,2,1,11,1,1,1,1
1747,"Left","0",2,6,1,2,2,2,1,1,1,9,1,3,1
1767,"Left","0",1,2,1,1,2,2,2,2,1,1,4,1,1
1770,"Left","0",1,2,1,1,1,2,2,1,2,2,1,2,2
1772,"Left","0",14,6,2,9,11,2,2,2,2,2,23,6,40
1775,"Left","0",1,2,2,2,1,1,1,1,1,1,1,1,1
1777,"Left","0",1,4,1,1,6,2,1,2,3,2,1,2,9
1823,"Left","0",1,2,1,1,2,2,3,1,1,1,2,3,1
1831,"Left","0",1,2,1,2,2,1,1,1,1,1,1,1,1
1849,"Left","F",1,4,1,1,1,1,2,2,1,2,1,1,1
