"WhaleNumber","Dual_Left_Right","KnownSex","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
20453,"Left","0",1,1,1,1,1,1,1,1,1,2,2,1,2
20463,"Left","0",1,1,1,1,1,1,1,1,1,2,1,2,1
20471,"Left","0",1,1,1,1,1,1,1,1,1,6,9,1,14
20495,"Left","0",1,1,1,1,1,1,1,1,1,2,1,1,2
20512,"Left","0",1,1,1,1,1,1,1,1,1,2,1,1,1
20517,"Left","0",1,1,1,1,1,1,1,1,1,2,1,1,1
20531,"Dual","0",1,1,1,1,1,1,1,1,1,2,2,1,6
20540,"Left","0",1,1,1,1,1,1,1,1,1,4,1,9,4
20562,"Left","0",1,1,1,1,1,1,1,1,1,11,13,1,2
20565,"Left","0",1,1,1,1,1,1,1,1,1,2,2,1,1
20601,"Left","0",1,1,1,1,1,1,1,1,1,2,6,2,1
20628,"Left","0",1,1,1,1,1,1,2,1,1,2,2,2,2
20634,"Left","0",1,1,1,1,1,1,1,1,1,2,2,2,2
20638,"Left","0",1,1,1,1,1,1,1,1,1,2,1,2,1
20644,"Left","0",1,1,1,1,1,1,1,1,1,2,1,9,1
20676,"Left","0",1,1,1,1,1,1,1,1,1,2,1,1,2
20685,"Left","0",1,1,1,1,1,1,1,1,1,2,1,1,2
20740,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,1
20768,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,2
20769,"Dual","0",1,1,1,1,1,1,1,1,1,1,1,2,6
20827,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,1
20849,"Left","0",1,1,1,1,1,1,1,1,1,2,2,2,1
20863,"Left","0",1,1,1,1,1,1,1,1,1,1,2,2,2
20865,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,1
21000,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,2
21032,"Left","0",1,1,1,1,1,1,1,1,1,1,2,2,2
21126,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,2
21169,"Left","0",1,1,1,1,1,1,1,1,11,1,6,3,5
21275,"Left","0",1,1,1,1,1,2,2,1,1,1,2,2,2
21434,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,1
21439,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,1
21443,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,2
21487,"Left","0",1,1,1,1,1,1,1,1,1,1,2,2,1
22316,"Left","0",1,1,1,1,1,1,1,1,2,2,1,1,1
25192,"Left","0",1,1,1,1,1,1,1,1,1,4,6,1,11
25278,"Dual","0",1,1,1,1,1,1,1,1,1,2,2,1,3
25293,"Left","0",1,1,1,1,1,1,1,2,1,2,1,1,2
25331,"Left","0",1,1,1,1,1,1,1,1,1,2,2,1,1
25451,"Left","0",1,1,1,1,1,1,1,1,1,2,1,1,2
25468,"Left","0",1,1,1,1,1,1,1,1,1,2,1,1,1
25504,"Left","0",1,1,1,1,1,1,1,1,1,2,2,1,1
25522,"Left","0",1,1,1,1,1,1,1,1,1,2,2,1,1
25794,"Left","0",1,1,1,1,1,1,1,1,1,1,2,1,6
26092,"Left","0",1,1,1,1,1,1,1,1,1,1,2,1,2
26106,"Left","0",1,1,1,1,1,1,1,1,1,1,2,1,2
26130,"Left","0",1,1,1,1,1,1,1,1,1,1,2,1,2
26146,"Left","0",1,1,1,1,1,1,1,1,1,1,2,1,2
26209,"Left","0",1,1,1,1,1,1,1,1,1,1,2,1,2
26308,"Left","0",1,1,1,1,2,1,1,1,1,1,2,1,2
26375,"Left","0",1,1,1,1,1,1,1,1,1,1,2,1,1
27185,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27194,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27241,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27322,"Left","F",1,1,1,1,1,1,1,1,1,1,1,1,58
27364,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27373,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27410,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27421,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27482,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27532,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27538,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27656,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27693,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,4
27725,"Dual","0",1,1,1,1,1,1,1,1,1,1,2,1,2
27733,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27738,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27835,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27894,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27938,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
27990,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
28005,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
28028,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
28145,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
28203,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
28233,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
28303,"Left","0",1,1,1,1,1,1,1,1,1,2,1,1,2
28402,"Left","M",1,1,1,1,1,1,2,1,1,1,1,1,2
28412,"Left","0",1,1,1,1,1,1,1,1,1,1,1,1,2
29341,"Dual","0",1,1,1,1,1,1,1,1,1,1,1,1,2
34325,"Left","0",1,1,1,1,1,1,1,2,2,2,1,1,2
